,Make,Model
16571,ERCOUPE,415-D
16573,PIPER,PA-28-140
16576,CESSNA,140A
16579,PIPER,PA-32-300
16581,ENGINEERING & RESEARCH,ERCOUPE 415-CD
16582,AIRBORNE,Streak 2
16583,CESSNA,140
16584,STINSON,108
16585,PIPER,PA-28-181
16587,HUGHES,369D
16589,CESSNA,195B
16590,BELL,206B
16592,CESSNA,182J
16593,CESSNA,172R
16594,PIPER,PA-32R-301T
16595,SCHWEIZER,269C-1
16596,BEECH,C-99
16597,BELL,206B
16598,GATES LEARJET CORP.,35A
16599,CESSNA,150L
16600,GRUMMAN AMERICAN,AA-5B
16602,CESSNA,172S
16604,CESSNA,182P
16607,FAIRCHILD,SA227
16610,HILLER,UH-12E
16611,CESSNA,150G
16612,MAULE,M-4-220C
16613,PIPER,PA-32R-300
16614,PIPER,PA-18
16620,PIPER,PA-28-180
16622,CESSNA,210A
16623,BEECH,B35
16624,BELL HELICOPTER TEXTRON CANADA,407
16625,ATR,ATR72
16626,CESSNA,182P
16627,BELLANCA,7GCBC
16628,PIPER,PA-28-140
16631,STINSON,SR-8B
16632,CESSNA,172M
16633,FPNA LLC,A-22 Valor
16634,CESSNA,402C
16635,BEECH,A23-24
16637,Czech Aircraft Works,Sportcruiser
16639,AVIAT,A1-A
16640,BOMBARDIER,CL600 2C10
16641,ROBINSON HELICOPTER COMPANY,R44 II
16642,Cessna,172P
16643,STINSON,108-1
16644,CESSNA,172F
16649,EUROCOPTER,AS350BA (FX2)
16650,CIRRUS,SR22
16651,PIPER,PA-22-160
16652,EADS SOCATA,TBM 700
16654,BOEING,MD
16657,CESSNA,310R
16658,CESSNA,310
16659,CESSNA,182P
16660,CESSNA,172
16661,PIPER,PA-38-112
16662,BEECH,58
16664,BEECH,200
16665,PIPER,PA-30
16667,BEECH,35-33
16669,PIPER,PA-38-112
16670,ROCKWELL INTERNATIONAL,114
16671,CESSNA,172S
16674,NEW PIPER AIRCRAFT INC,PA-46-500TP
16675,AEROSPATIALE,AS 355F1
16676,MAULE,M5
16677,PIPER,PA-32R
16678,BEECH,V35
16679,CESSNA,172M
16680,STINSON,108-3
16682,PIPER,PA-31T2
16683,CESSNA,182
16684,PIPER,PA-28R-200
16686,PIPER,PA-38-112
16687,CESSNA,172S
16694,CESSNA,150L
16695,PIPER,PA-32RT-300
16696,PIPER,PA-25-235
16697,SCHLEICHER,ASW-27
16698,PIPER,PA-18-150
16699,ROBINSON HELICOPTER COMPANY,R22
16703,PIPER,PA-25-260
16705,ROBINSON HELICOPTER,R22 BETA
16707,CESSNA,170B
16709,BELL HELICOPTER TEXTRON,206L-1
16711,PIPER,PA-30
16712,CESSNA,182P
16713,PIPER,PA-28R-200
16714,CESSNA,172
16715,CESSNA,305A
16716,BOEING,B75N1
16718,CESSNA,172
16719,BOEING,A75N1
16720,PIPER,PA-28R-200
16721,CIRRUS,SR-22
16722,MCDONNELL DOUGLAS HELI CO,369E
16723,CESSNA,182K
16724,PIPER,PA28-151
16725,COSTRUZIONI AERONAUTICHE TECNA,P2004 BRAVO
16726,SCHWEIZER,269C-1
16727,CESSNA,C185F
16729,BELL,206B
16731,NAVION,NAVION G
16733,PARADISE USA LLC,PARADISE P-1 SLSA LW
16734,PIPER,PA-34-200T
16735,CLASSIC AIRCRAFT CORP,WACO YMF
16737,PIPER,PA-28-140
16738,AIRFRAMES UNLIMITED,COYOTE
16740,BEECH,A36
16741,AEROSPATIALE,AS350BA
16742,CURTISS WRIGHT,TRAVEL AIR
16743,PIPER,PA-28R-200
16745,ROBINSON HELICOPTER,R22 BETA
16746,ROBINSON HELICOPTER,R22 BETA
16749,AIRBUS,A319-111
16750,PIPER,PA-18-150
16751,PIPER,PA-28-180
16753,AMERICAN CHAMPION AIRCRAFT,8GCBC
16756,BEECH,35-B33
16758,HAWKER BEECHCRAFT CORPORATION,B200
16761,NORTH AMERICAN,T6-G
16762,CESSNA,A188B
16763,CESSNA,172
16764,AERO COMMANDER,100
16766,BEECH,A36
16767,CESSNA,150L
16768,PIPER,PA-32R-300
16769,PIASECKI/PIKE,PV-18
